品种名称,物种学名,物种中文名称
五乡优1918,Oryza sativa,水稻
徽两优181,Oryza sativa,水稻
高峰优5,Oryza sativa,水稻
更香优703,Oryza sativa,水稻
高峰优1,Oryza sativa,水稻
畾1优1068,Oryza sativa,水稻
野香优冰丝,Oryza sativa,水稻
金九优玉占,Oryza sativa,水稻
绥粳31,Oryza sativa,水稻
绥117178,Oryza sativa,水稻
龙粳4131,Oryza sativa,水稻
莲汇粘23,Oryza sativa,水稻
中农粳865,Oryza sativa,水稻
天盈2,Oryza sativa,水稻
龙粳2305,Oryza sativa,水稻
莲盈4,Oryza sativa,水稻
未来177,Oryza sativa,水稻
棱峰1,Oryza sativa,水稻
东富202,Oryza sativa,水稻
盛禾1,Oryza sativa,水稻
盛禾2,Oryza sativa,水稻
鸿源5,Oryza sativa,水稻
绥粳106,Oryza sativa,水稻
绥稻8,Oryza sativa,水稻
牡育稻49,Oryza sativa,水稻
绥粳209,Oryza sativa,水稻
东富112,Oryza sativa,水稻
东富111,Oryza sativa,水稻
鸿源20,Oryza sativa,水稻
寒稻162,Oryza sativa,水稻
粳禾8,Oryza sativa,水稻
东富104,Oryza sativa,水稻
益农稻3,Oryza sativa,水稻
松粳33,Oryza sativa,水稻
东富109,Oryza sativa,水稻
龙稻363,Oryza sativa,水稻
唯农103,Oryza sativa,水稻
东富106,Oryza sativa,水稻
龙稻113,Oryza sativa,水稻
天源324,Oryza sativa,水稻
天源280,Oryza sativa,水稻
天源217,Oryza sativa,水稻
天源115,Oryza sativa,水稻
天源113,Oryza sativa,水稻
TY113,Oryza sativa,水稻
天源108,Oryza sativa,水稻
古榆香稻1,Oryza sativa,水稻
兴粳4,Oryza sativa,水稻
新育9,Oryza sativa,水稻
赤稻9807,Oryza sativa,水稻
赤稻975,Oryza sativa,水稻
哲稻2,Oryza sativa,水稻
丰优6,Oryza sativa,水稻
两优28,Oryza sativa,水稻
浙粳37,Oryza sativa,水稻
R5037,Oryza sativa,水稻
准两优3,Oryza sativa,水稻
T优528,Oryza sativa,水稻
T78优528,Oryza sativa,水稻
欣荣优03,Oryza sativa,水稻
T优402,Oryza sativa,水稻
中9优663,Oryza sativa,水稻
新银占,Oryza sativa,水稻
天优4118,Oryza sativa,水稻
B两优827,Oryza sativa,水稻
五丰优128,Oryza sativa,水稻
马粳1,Oryza sativa,水稻
沾粳9,Oryza sativa,水稻
04-5130,Oryza sativa,水稻
会粳4,Oryza sativa,水稻
2000系161选,Oryza sativa,水稻
会粳3,Oryza sativa,水稻
会98繁3,Oryza sativa,水稻
剑粳3,Oryza sativa,水稻
剑97-8,Oryza sativa,水稻
泸优2,Oryza sativa,水稻
富优108,Oryza sativa,水稻
博优212,Oryza sativa,水稻
特优233,Oryza sativa,水稻
早桂1,Oryza sativa,水稻
优Ⅰ838,Oryza sativa,水稻
Ⅰ优838,Oryza sativa,水稻
博Ⅱ优3550,Oryza sativa,水稻
特优桂33,Oryza sativa,水稻
特优5,Oryza sativa,水稻
培两优275,Oryza sativa,水稻
枝优25,Oryza sativa,水稻
博优329,Oryza sativa,水稻
培两优99,Oryza sativa,水稻
培杂桂99,Oryza sativa,水稻
河西3,Oryza sativa,水稻
84-2-803,Oryza sativa,水稻
云国1,Oryza sativa,水稻
汕优61选-1,Oryza sativa,水稻
国粳4,Oryza sativa,水稻
鄂晚13,Oryza sativa,水稻
鄂晚12,Oryza sativa,水稻
矮优82,Oryza sativa,水稻
鄂籼杂2,Oryza sativa,水稻
汕优45,Oryza sativa,水稻
马协18,Oryza sativa,水稻
马协118-2,Oryza sativa,水稻
协优96,Oryza sativa,水稻
宜优207,Oryza sativa,水稻
岳优26,Oryza sativa,水稻
武香880,Oryza sativa,水稻
大冶早糯,Oryza sativa,水稻
5-59,Oryza sativa,水稻
85-44,Oryza sativa,水稻
中83-4,Oryza sativa,水稻
扬粳5118,Oryza sativa,水稻
宁两优1513,Oryza sativa,水稻
明两优丝苗,Oryza sativa,水稻
昌两优明占,Oryza sativa,水稻
浙粳优1758,Oryza sativa,水稻
春优312,Oryza sativa,水稻
甬优7826,Oryza sativa,水稻
宁香粳9,Oryza sativa,水稻
宁粳039,Oryza sativa,水稻
南粳5916,Oryza sativa,水稻
宁5916,Oryza sativa,水稻
南粳56,Oryza sativa,水稻
宁5913,Oryza sativa,水稻
武粳68,Oryza sativa,水稻
连粳20,Oryza sativa,水稻
镇稻656,Oryza sativa,水稻
常农粳13,Oryza sativa,水稻
皖垦粳516,Oryza sativa,水稻
徐稻12,Oryza sativa,水稻
扬农香28,Oryza sativa,水稻
扬农产28,Oryza sativa,水稻
武粳38,Oryza sativa,水稻
金粳368,Oryza sativa,水稻
中科盐3,Oryza sativa,水稻
盐稻5152,Oryza sativa,水稻
泗稻301,Oryza sativa,水稻
泗稻15-301,Oryza sativa,水稻
淮稻26,Oryza sativa,水稻
淮700,Oryza sativa,水稻
江稻501,Oryza sativa,水稻
苏盐粳302,Oryza sativa,水稻
盐鉴2302,Oryza sativa,水稻
科粳稻2,Oryza sativa,水稻
佳源粳1,Oryza sativa,水稻
懒宝,Oryza sativa,水稻
薄竹谷,Oryza sativa,水稻
徐稻11,Oryza sativa,水稻
徐农36618,Oryza sativa,水稻
华荃优187,Oryza sativa,水稻
盐两优1,Oryza sativa,水稻
赣优7363,Oryza sativa,水稻
镇籼3优134,Oryza sativa,水稻
木禾,Oryza sativa,水稻
大叶占,Oryza sativa,水稻
花罗,Oryza sativa,水稻
鸭母油,Oryza sativa,水稻
矮脚齐,Oryza sativa,水稻
顶头禾,Oryza sativa,水稻
红脚蔓,Oryza sativa,水稻
夏至白,Oryza sativa,水稻
早麻占,Oryza sativa,水稻
南海白,Oryza sativa,水稻
密早,Oryza sativa,水稻
广东早,Oryza sativa,水稻
丰大114B,Oryza sativa,水稻
丰恢2590,Oryza sativa,水稻
容恢590,Oryza sativa,水稻
绵恢436,Oryza sativa,水稻
C216,Oryza sativa,水稻
徐恢11631,Oryza sativa,水稻
中青B,Oryza sativa,水稻
Y16,Oryza sativa,水稻
香改B,Oryza sativa,水稻
绵香1B,Oryza sativa,水稻
怀恢340,Oryza sativa,水稻
蓉18B,Oryza sativa,水稻
绵5B,Oryza sativa,水稻
蓉恢415,Oryza sativa,水稻
宜恢2239,Oryza sativa,水稻
金恢196,Oryza sativa,水稻
凯恢608,Oryza sativa,水稻
科珍丝苗,Oryza sativa,水稻
创恢959,Oryza sativa,水稻
R1339,Oryza sativa,水稻
扬恢1512,Oryza sativa,水稻
创恢950,Oryza sativa,水稻
南黑1,Oryza sativa,水稻
东81S,Oryza sativa,水稻
R871,Oryza sativa,水稻
源511S,Oryza sativa,水稻
垦恢405,Oryza sativa,水稻
辉505S,Oryza sativa,水稻
垦恢404,Oryza sativa,水稻
华恢1252,Oryza sativa,水稻
奥R588,Oryza sativa,水稻
奥R682,Oryza sativa,水稻
奥R990,Oryza sativa,水稻
奥R3000,Oryza sativa,水稻
MR1513,Oryza sativa,水稻
银红宝,Oryza sativa,水稻
悦6318S,Oryza sativa,水稻
瑞丰S,Oryza sativa,水稻
金R717,Oryza sativa,水稻
JXR135,Oryza sativa,水稻
航恢1978,Oryza sativa,水稻
航恢2018,Oryza sativa,水稻
宁296S,Oryza sativa,水稻
全赢占,Oryza sativa,水稻
鄂晶丝苗,Oryza sativa,水稻
吨S,Oryza sativa,水稻
香糯1303,Oryza sativa,水稻
冀粳4,Oryza sativa,水稻
67-02,Oryza sativa,水稻
福稔,Oryza sativa,水稻
京引33,Oryza sativa,水稻
农林101,Oryza sativa,水稻
山阴44,Oryza sativa,水稻
农林152,Oryza sativa,水稻
京引83,Oryza sativa,水稻
奥羽245,Oryza sativa,水稻
石狩,Oryza sativa,水稻
农林217,Oryza sativa,水稻
道北1,Oryza sativa,水稻
8013,Oryza sativa,水稻
寒9,Oryza sativa,水稻
幸稔,Oryza sativa,水稻
长青90,Oryza sativa,水稻
盐优93005,Oryza sativa,水稻
泗优12,Oryza sativa,水稻
苏优Z12,Oryza sativa,水稻
86优8,Oryza sativa,水稻
8优682,Oryza sativa,水稻
泗优418,Oryza sativa,水稻
泗优523,Oryza sativa,水稻
泗优88,Oryza sativa,水稻
泗优9022,Oryza sativa,水稻
泗优9083,Oryza sativa,水稻
泗优422,Oryza sativa,水稻
六优3-2,Oryza sativa,水稻
盐优57,Oryza sativa,水稻
盐优C57V,Oryza sativa,水稻
镇稻7,Oryza sativa,水稻
镇稻5171,Oryza sativa,水稻
南粳39,Oryza sativa,水稻
701,Oryza sativa,水稻
791,Oryza sativa,水稻
镇稻8,Oryza sativa,水稻
镇稻5824,Oryza sativa,水稻
盐粳7,Oryza sativa,水稻
盐9619,Oryza sativa,水稻
89-94,Oryza sativa,水稻
863A,Oryza sativa,水稻
徐8908A,Oryza sativa,水稻
江洲香糯,Oryza sativa,水稻
香糯9326,Oryza sativa,水稻
绵两优2115,Oryza sativa,水稻
德优651,Oryza sativa,水稻
雅优2115,Oryza sativa,水稻
千乡优635,Oryza sativa,水稻
千乡优189,Oryza sativa,水稻
赣优7938,Oryza sativa,水稻
蜀优236,Oryza sativa,水稻
千乡优604,Oryza sativa,水稻
千乡优618,Oryza sativa,水稻
蜀优1281,Oryza sativa,水稻
千乡优236,Oryza sativa,水稻
内7优573,Oryza sativa,水稻
蓉优1838,Oryza sativa,水稻
川农优108,Oryza sativa,水稻
百盛3,Oryza sativa,水稻
川优4118,Oryza sativa,水稻
锦优901,Oryza sativa,水稻
蓉7优6139,Oryza sativa,水稻
荃优6139,Oryza sativa,水稻
忠优壮苗,Oryza sativa,水稻
谦诚占2,Oryza sativa,水稻
川康优723,Oryza sativa,水稻
川优8723,Oryza sativa,水稻
泰丰优2115,Oryza sativa,水稻
川优1611,Oryza sativa,水稻
川康优6139,Oryza sativa,水稻
川康优6308,Oryza sativa,水稻
千乡优223,Oryza sativa,水稻
宜香优4118,Oryza sativa,水稻
福兴B,Oryza sativa,水稻
768B,Oryza sativa,水稻
茂恢763,Oryza sativa,水稻
茉莉香105,Oryza sativa,水稻
KDML105,Oryza sativa,水稻
茉莉占,Oryza sativa,水稻
垦优0702,Oryza sativa,水稻
垦育88,Oryza sativa,水稻
垦稻2018,Oryza sativa,水稻
文恢206,Oryza sativa,水稻
文恢247,Oryza sativa,水稻
湘恢24,Oryza sativa,水稻
乐恢C3-2,Oryza sativa,水稻
内恢94-4,Oryza sativa,水稻
镇恢249,Oryza sativa,水稻
暹罗谷,Oryza sativa,水稻
大黄占,Oryza sativa,水稻
自来占,Oryza sativa,水稻
闽冬,Oryza sativa,水稻
糯米杂,Oryza sativa,水稻
正铁禾,Oryza sativa,水稻
仙游本,Oryza sativa,水稻
乌梨,Oryza sativa,水稻
青骨种,Oryza sativa,水稻
文昌占,Oryza sativa,水稻
石脚矮,Oryza sativa,水稻
白壳矮,Oryza sativa,水稻
芋头种,Oryza sativa,水稻
恶打占,Oryza sativa,水稻
晗哈,Oryza sativa,水稻
暹占,Oryza sativa,水稻
石燕种,Oryza sativa,水稻
FR6105,Oryza sativa,水稻
早恢6103,Oryza sativa,水稻
川作323A,Oryza sativa,水稻
鑫恢321,Oryza sativa,水稻
泸恢104,Oryza sativa,水稻
泸恢317,Oryza sativa,水稻
川农香粳,Oryza sativa,水稻
川农粳1,Oryza sativa,水稻
赣晴,Oryza sativa,水稻
中香矮占,Oryza sativa,水稻
秋光杰夫,Oryza sativa,水稻
渔稻5,Oryza sativa,水稻
丰泽15A,Oryza sativa,水稻
渔稻两优1,Oryza sativa,水稻
FR838,Oryza sativa,水稻
FR869,Oryza sativa,水稻
福黑8,Oryza sativa,水稻
福黑糯1,Oryza sativa,水稻
侬多丰1,Oryza sativa,水稻
R3708,Oryza sativa,水稻
瑞象A,Oryza sativa,水稻
红45A,Oryza sativa,水稻
龙垦226,Oryza sativa,水稻
龙垦215,Oryza sativa,水稻
龙垦214,Oryza sativa,水稻
品110s,Oryza sativa,水稻
龙科15077,Oryza sativa,水稻
九粳糯007,Oryza sativa,水稻
福巨糯11,Oryza sativa,水稻
诺糯5,Oryza sativa,水稻
章糯恢4,Oryza sativa,水稻
嘉335,Oryza sativa,水稻
wp88,Oryza sativa,水稻
晋稻12,Oryza sativa,水稻
30015,Oryza sativa,水稻
79-227,Oryza sativa,水稻
84-240,Oryza sativa,水稻
矮93,Oryza sativa,水稻
香丝苗2,Oryza sativa,水稻
连恢矮9386,Oryza sativa,水稻
文香24A,Oryza sativa,水稻
文香24B,Oryza sativa,水稻
原旱稻3,Oryza sativa,水稻
禾珍,Oryza sativa,水稻
HR7308,Oryza sativa,水稻
盐稻11,Oryza sativa,水稻
盐稻3872,Oryza sativa,水稻
泸98B,Oryza sativa,水稻
长粳6,Oryza sativa,水稻
镇变2,Oryza sativa,水稻
原96168,Oryza sativa,水稻
培矮-2S,Oryza sativa,水稻
Bph68s,Oryza sativa,水稻
R610234,Oryza sativa,水稻
中种23A,Oryza sativa,水稻
中种25A,Oryza sativa,水稻
MZ98008-1128,Oryza sativa,水稻
MZ1128,Oryza sativa,水稻
HR1128,Oryza sativa,水稻
两优003,Oryza sativa,水稻
哈95-116,Oryza sativa,水稻
矮丝苗选8,Oryza sativa,水稻
增城丝苗-8选,Oryza sativa,水稻
勃稻9,Oryza sativa,水稻
鸿源121,Oryza sativa,水稻
绥粳315,Oryza sativa,水稻
东富186,Oryza sativa,水稻
丰硕1912,Oryza sativa,水稻
龙庆稻19,Oryza sativa,水稻
绥稻318,Oryza sativa,水稻
龙稻212,Oryza sativa,水稻
农轩稻1,Oryza sativa,水稻
东富192,Oryza sativa,水稻
鸿源粘4,Oryza sativa,水稻
绥粳110,Oryza sativa,水稻
龙庆粳13,Oryza sativa,水稻
绥生稻13,Oryza sativa,水稻
龙源110,Oryza sativa,水稻
益农2,Oryza sativa,水稻
东富184,Oryza sativa,水稻
龙稻207,Oryza sativa,水稻
龙稻327,Oryza sativa,水稻
哈粳稻15,Oryza sativa,水稻
唯农225,Oryza sativa,水稻
哈粳稻10,Oryza sativa,水稻
东富182,Oryza sativa,水稻
乐稻111,Oryza sativa,水稻
龙稻204,Oryza sativa,水稻
益农稻123,Oryza sativa,水稻
牡科粘1,Oryza sativa,水稻
哈粳稻16,Oryza sativa,水稻
益农稻116,Oryza sativa,水稻
松粳212,Oryza sativa,水稻
新粳优1,Oryza sativa,水稻
98049,Oryza sativa,水稻
R3327,Oryza sativa,水稻
早丰优402,Oryza sativa,水稻
R795,Oryza sativa,水稻
三丰B,Oryza sativa,水稻
三丰A,Oryza sativa,水稻
B5,Oryza sativa,水稻
J425,Oryza sativa,水稻
川香28B,Oryza sativa,水稻
成恢425,Oryza sativa,水稻
苗系918-5,Oryza sativa,水稻
五优稻A,Oryza sativa,水稻
松粳香2,Oryza sativa,水稻
松香06-317,Oryza sativa,水稻
松98-131,Oryza sativa,水稻
北0888,Oryza sativa,水稻
北08-88,Oryza sativa,水稻
北08-87,Oryza sativa,水稻
龙粳31,Oryza sativa,水稻
龙花01-687,Oryza sativa,水稻
龙花00485,Oryza sativa,水稻
龙花00-485,Oryza sativa,水稻
龙粳32,Oryza sativa,水稻
龙组01-4160,Oryza sativa,水稻
QR1062,Oryza sativa,水稻
苏稻5,Oryza sativa,水稻
苏粳9910,Oryza sativa,水稻
武运粳27,Oryza sativa,水稻
武运2743,Oryza sativa,水稻
武运粳28,Oryza sativa,水稻
93-63,Oryza sativa,水稻
常农粳7,Oryza sativa,水稻
常粳09-6,Oryza sativa,水稻
明汉恢306,Oryza sativa,水稻
R518,Oryza sativa,水稻
R6332,Oryza sativa,水稻
R645,Oryza sativa,水稻
莲塘晚香,Oryza sativa,水稻
宜糖2,Oryza sativa,水稻
望恢006,Oryza sativa,水稻
湘恢3399,Oryza sativa,水稻
科S,Oryza sativa,水稻
温恢359,Oryza sativa,水稻
温恢5,Oryza sativa,水稻
W-5,Oryza sativa,水稻
中早A,Oryza sativa,水稻
九金A,Oryza sativa,水稻
中早B,Oryza sativa,水稻
九金B,Oryza sativa,水稻
九龙B,Oryza sativa,水稻
春江95,Oryza sativa,水稻
春江95B,Oryza sativa,水稻
中16B,Oryza sativa,水稻
中17A,Oryza sativa,水稻
中17B,Oryza sativa,水稻
中富A,Oryza sativa,水稻
E418A,Oryza sativa,水稻
中富B,Oryza sativa,水稻
内香5B,Oryza sativa,水稻
中谷A,Oryza sativa,水稻
中谷B,Oryza sativa,水稻
中禾1A,Oryza sativa,水稻
热禾1A,Oryza sativa,水稻
中禾1B,Oryza sativa,水稻
中金2A,Oryza sativa,水稻
禾金2A,Oryza sativa,水稻
鄂恢459,Oryza sativa,水稻
中金2B,Oryza sativa,水稻
圣稻301,Oryza sativa,水稻
楚粳17,Oryza sativa,水稻
97-17,Oryza sativa,水稻
浙辐910,Oryza sativa,水稻
1896,Oryza sativa,水稻
湘早籼14,Oryza sativa,水稻
怀早5,Oryza sativa,水稻
赣早籼26,Oryza sativa,水稻
85-02,Oryza sativa,水稻
KS-7,Oryza sativa,水稻
山法师,Oryza sativa,水稻
京引119,Oryza sativa,水稻
农林161,Oryza sativa,水稻
东海17,Oryza sativa,水稻
港辐1,Oryza sativa,水稻
楚粳3,Oryza sativa,水稻
丙92-528,Oryza sativa,水稻
绥粳1,Oryza sativa,水稻
绥86-201,Oryza sativa,水稻
双桂1,Oryza sativa,水稻
双桂210,Oryza sativa,水稻
九稻16,Oryza sativa,水稻
九B354,Oryza sativa,水稻
秀水17,Oryza sativa,水稻
丙91-17,Oryza sativa,水稻
九稻19,Oryza sativa,水稻
九9216,Oryza sativa,水稻
垦稻6,Oryza sativa,水稻
垦89-370,Oryza sativa,水稻
L优科农98,Oryza sativa,水稻
科香208,Oryza sativa,水稻
嘉早43,Oryza sativa,水稻
Z91-43,Oryza sativa,水稻
珍珠矮,Oryza sativa,水稻
99-5,Oryza sativa,水稻
七黄占,Oryza sativa,水稻
鄂宜105,Oryza sativa,水稻
扬粳687,Oryza sativa,水稻
查稻1,Oryza sativa,水稻
南京16,Oryza sativa,水稻
南京30152,Oryza sativa,水稻
917B,Oryza sativa,水稻
917A,Oryza sativa,水稻
711B,Oryza sativa,水稻
711A,Oryza sativa,水稻
得恢529,Oryza sativa,水稻
绿稻Q7,Oryza sativa,水稻
R1655,Oryza sativa,水稻
Y两优928,Oryza sativa,水稻
凤S,Oryza sativa,水稻
如玉1,Oryza sativa,水稻
4D033,Oryza sativa,水稻
嘉Z837R,Oryza sativa,水稻
R1415,Oryza sativa,水稻
隆粳670,Oryza sativa,水稻
NZZB,Oryza sativa,水稻
YF04B,Oryza sativa,水稻
群B,Oryza sativa,水稻
云粳39,Oryza sativa,水稻
云粳38,Oryza sativa,水稻
云粳37,Oryza sativa,水稻
NHR115,Oryza sativa,水稻
57优159,Oryza sativa,水稻
L57B,Oryza sativa,水稻
L57A,Oryza sativa,水稻
57优华占,Oryza sativa,水稻
Y两优115,Oryza sativa,水稻
湘丰优309,Oryza sativa,水稻
湘丰优159,Oryza sativa,水稻
五优974,Oryza sativa,水稻
五优463,Oryza sativa,水稻
特优5565,Oryza sativa,水稻
特优107,Oryza sativa,水稻
天优812,Oryza sativa,水稻
天丰优812,Oryza sativa,水稻
钱优916,Oryza sativa,水稻
特优3675,Oryza sativa,水稻
金山优70,Oryza sativa,水稻
深优866,Oryza sativa,水稻
Y两优199,Oryza sativa,水稻
金冈优338,Oryza sativa,水稻
陵优5240,Oryza sativa,水稻
陵优2060,Oryza sativa,水稻
万恢481,Oryza sativa,水稻
万优481,Oryza sativa,水稻
赣优607,Oryza sativa,水稻
冈优36,Oryza sativa,水稻
蓉优87,Oryza sativa,水稻
F优3,Oryza sativa,水稻
泸优1618,Oryza sativa,水稻
冈优916,Oryza sativa,水稻
渝香糯1,Oryza sativa,水稻
龙恢3,Oryza sativa,水稻
9713,Oryza sativa,水稻
津稻179,Oryza sativa,水稻
红香优68,Oryza sativa,水稻
骏优172,Oryza sativa,水稻
长优72,Oryza sativa,水稻
强两优2,Oryza sativa,水稻
金优39,Oryza sativa,水稻
鄂粳优763,Oryza sativa,水稻
红香2B,Oryza sativa,水稻
华328S,Oryza sativa,水稻
今谷A系-019,Oryza sativa,水稻
今谷119,Oryza sativa,水稻
今谷117,Oryza sativa,水稻
广8优2156,Oryza sativa,水稻
深两优898,Oryza sativa,水稻
群优519,Oryza sativa,水稻
深优9569,Oryza sativa,水稻
五优3301,Oryza sativa,水稻
和两优633,Oryza sativa,水稻
特优668,Oryza sativa,水稻
谷优367,Oryza sativa,水稻
特优666,Oryza sativa,水稻
星优707,Oryza sativa,水稻
荣优736,Oryza sativa,水稻
吉优371,Oryza sativa,水稻
天优1019,Oryza sativa,水稻
Y两优1173,Oryza sativa,水稻
五优1121,Oryza sativa,水稻
航恢1179,Oryza sativa,水稻
五优1179,Oryza sativa,水稻
吉田优华占,Oryza sativa,水稻
南红1,Oryza sativa,水稻
南8糯,Oryza sativa,水稻
广红3,Oryza sativa,水稻
黄软丝苗,Oryza sativa,水稻
粤金农占,Oryza sativa,水稻
粤金银占,Oryza sativa,水稻
黄广莉占,Oryza sativa,水稻
白粳占,Oryza sativa,水稻
华航36,Oryza sativa,水稻
525,Oryza sativa,水稻
成矮597,Oryza sativa,水稻
中选8,Oryza sativa,水稻
75-24,Oryza sativa,水稻
六井,Oryza sativa,水稻
科六早,Oryza sativa,水稻
科技7,Oryza sativa,水稻
盐籼203,Oryza sativa,水稻
宜辐糯1,Oryza sativa,水稻
襄稻3,Oryza sativa,水稻
安顺26-1,Oryza sativa,水稻
泸朝1,Oryza sativa,水稻
蜀丰101,Oryza sativa,水稻
700,Oryza sativa,水稻
广文10,Oryza sativa,水稻
召稻1,Oryza sativa,水稻
信矮3,Oryza sativa,水稻
胜利矮,Oryza sativa,水稻
南塘矮16,Oryza sativa,水稻
内中124,Oryza sativa,水稻
泸科1,Oryza sativa,水稻
成都矮7,Oryza sativa,水稻
早恢R3,Oryza sativa,水稻
万中80,Oryza sativa,水稻
南特占14-1,Oryza sativa,水稻
南特占,Oryza sativa,水稻
罗甸28,Oryza sativa,水稻
罗甸6,Oryza sativa,水稻
9017,Oryza sativa,水稻
皖稻45,Oryza sativa,水稻
S9042,Oryza sativa,水稻
7416,Oryza sativa,水稻
丙93-207,Oryza sativa,水稻
Z91-105,Oryza sativa,水稻
五稻3,Oryza sativa,水稻
五86-14,Oryza sativa,水稻
华籼占,Oryza sativa,水稻
桂晚辐,Oryza sativa,水稻
丹粳4,Oryza sativa,水稻
繁4,Oryza sativa,水稻
丹繁4,Oryza sativa,水稻
衡农S-1,Oryza sativa,水稻
2318,Oryza sativa,水稻
湘早籼25,Oryza sativa,水稻
潭早籼1,Oryza sativa,水稻
糯谷,Oryza sativa,水稻
娄早籼4,Oryza sativa,水稻
91-7,Oryza sativa,水稻
冈矮A,Oryza sativa,水稻
皖稻20,Oryza sativa,水稻
D9055,Oryza sativa,水稻
9-258,Oryza sativa,水稻
95-16,Oryza sativa,水稻
89-79,Oryza sativa,水稻
湘早籼27,Oryza sativa,水稻
23-2,Oryza sativa,水稻
镇稻2,Oryza sativa,水稻
镇稻9380,Oryza sativa,水稻
粳糯9380,Oryza sativa,水稻
镇糯9380,Oryza sativa,水稻
雪光,Oryza sativa,水稻
早优3,Oryza sativa,水稻
宁粳27,Oryza sativa,水稻
吉T39,Oryza sativa,水稻
南保早,Oryza sativa,水稻
冀粳13,Oryza sativa,水稻
垦育2,Oryza sativa,水稻
郯粳1,Oryza sativa,水稻
79106,Oryza sativa,水稻
Ⅱ优818,Oryza sativa,水稻
Ⅱ优1681,Oryza sativa,水稻
金优怀210,Oryza sativa,水稻
Y两优3399,Oryza sativa,水稻
Y两优527,Oryza sativa,水稻
长龙37,Oryza sativa,水稻
双两优1,Oryza sativa,水稻
金优9017,Oryza sativa,水稻
金优怀181,Oryza sativa,水稻
川江优2,Oryza sativa,水稻
金优938,Oryza sativa,水稻
湘丰优974,Oryza sativa,水稻
株两优4024,Oryza sativa,水稻
株两优189,Oryza sativa,水稻
株两优21,Oryza sativa,水稻
湘早籼46,Oryza sativa,水稻
浙207,Oryza sativa,水稻
芳A,Oryza sativa,水稻
顺A,Oryza sativa,水稻
家福香1,Oryza sativa,水稻
桂香3,Oryza sativa,水稻
桂井1,Oryza sativa,水稻
柳丰香占,Oryza sativa,水稻
西优2,Oryza sativa,水稻
博优9359,Oryza sativa,水稻
博优359,Oryza sativa,水稻
兰优1972,Oryza sativa,水稻
龙优131,Oryza sativa,水稻
百优838,Oryza sativa,水稻
宝丰优007,Oryza sativa,水稻
博优5398,Oryza sativa,水稻
二九矮,Oryza sativa,水稻
培杂山青,Oryza sativa,水稻
博优175,Oryza sativa,水稻
汕优3550,Oryza sativa,水稻
汕优36辐,Oryza sativa,水稻
温优3,Oryza sativa,水稻
博优96,Oryza sativa,水稻
协优432,Oryza sativa,水稻
威优晚3,Oryza sativa,水稻
汕优4480,Oryza sativa,水稻
汕优22,Oryza sativa,水稻
D优63,Oryza sativa,水稻
D汕优63,Oryza sativa,水稻
冈优多系1,Oryza sativa,水稻
汕优桂33,Oryza sativa,水稻
博优3550,Oryza sativa,水稻
广优4,Oryza sativa,水稻
Ⅱ优46,Oryza sativa,水稻
Ⅱ优10,Oryza sativa,水稻
威优647,Oryza sativa,水稻
博优210,Oryza sativa,水稻
Ⅱ优多系1,Oryza sativa,水稻
Ⅱ优802,Oryza sativa,水稻
威优1126,Oryza sativa,水稻
威优64,Oryza sativa,水稻
威优77,Oryza sativa,水稻
优Ⅰ华联2,Oryza sativa,水稻
优Ⅰ辐26,Oryza sativa,水稻
Ⅰ优辐26,Oryza sativa,水稻
汕优89,Oryza sativa,水稻
Ⅱ优3550,Oryza sativa,水稻
冈优12,Oryza sativa,水稻
冈优63,Oryza sativa,水稻
协优64,Oryza sativa,水稻
皖稻5,Oryza sativa,水稻
全丰优2155,Oryza sativa,水稻
沈元1,Oryza sativa,水稻
鑫满6,Oryza sativa,水稻
耐德1,Oryza sativa,水稻
华美占,Oryza sativa,水稻
桂禾丰,Oryza sativa,水稻
桂育8,Oryza sativa,水稻
R293,Oryza sativa,水稻
博Ⅲ优293,Oryza sativa,水稻
桂恢395,Oryza sativa,水稻
秀优395,Oryza sativa,水稻
桂139,Oryza sativa,水稻
龙丰优139,Oryza sativa,水稻
川恢8,Oryza sativa,水稻
南珍优8,Oryza sativa,水稻
R638,Oryza sativa,水稻
博Ⅲ优638,Oryza sativa,水稻
桂622,Oryza sativa,水稻
美优622,Oryza sativa,水稻
桂恢089,Oryza sativa,水稻
丰田优089,Oryza sativa,水稻
泰519,Oryza sativa,水稻
圣优558,Oryza sativa,水稻
湘恢1844,Oryza sativa,水稻
陵两优1844,Oryza sativa,水稻
R3008,Oryza sativa,水稻
秋长优3008,Oryza sativa,水稻
R7833,Oryza sativa,水稻
V两优7833,Oryza sativa,水稻
雅恢2117,Oryza sativa,水稻
雅7优2117,Oryza sativa,水稻
双优573,Oryza sativa,水稻
内6优107,Oryza sativa,水稻
内6优103,Oryza sativa,水稻
陵两优171,Oryza sativa,水稻
玖两优475,Oryza sativa,水稻
桃湘优华占,Oryza sativa,水稻
19两优华占,Oryza sativa,水稻
N两优8,Oryza sativa,水稻
裕优华占,Oryza sativa,水稻
B两优华占,Oryza sativa,水稻
玖两优华占,Oryza sativa,水稻
星两优华占,Oryza sativa,水稻
袁两优华占,Oryza sativa,水稻
湘两优华占,Oryza sativa,水稻
创优华占,Oryza sativa,水稻
114,Oryza sativa,水稻
红恢2,Oryza sativa,水稻
HR2,Oryza sativa,水稻
ZHR1,Oryza sativa,水稻
矮紫S,Oryza sativa,水稻
Z913S,Oryza sativa,水稻
锦315B,Oryza sativa,水稻
锦315A,Oryza sativa,水稻
